name,action-time-start,action-time-end,action-total-seconds,cycle
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199047.1449807,1713199047.2938228,0.14884,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199047.1744561,1713199047.3199642,0.14551,4
split-data-between-workers,1713199047.5853853,1713199052.742193,5.15681,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199057.1848302,1713199057.318926,0.1341,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199057.211961,1713199057.3846729,0.17271,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199067.1406057,1713199067.2486844,0.10808,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199067.1674235,1713199067.3626971,0.19527,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199077.1466036,1713199077.265102,0.1185,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199077.174145,1713199077.3555126,0.18137,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199087.1463454,1713199087.2620537,0.11571,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199087.1767473,1713199087.3348217,0.15807,4
send-context-to-workers,1713199087.7480576,1713199096.0540206,8.30596,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199097.1429274,1713199097.2497697,0.10684,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199097.1668417,1713199097.312706,0.14586,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199107.1740026,1713199107.2318082,0.05781,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199107.1464803,1713199107.269508,0.12303,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199117.149003,1713199117.2593634,0.11036,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199117.1682887,1713199117.3694017,0.20111,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199127.1708486,1713199127.2813647,0.11052,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199127.1463864,1713199127.321107,0.17472,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199137.1444826,1713199137.2769396,0.13246,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199137.1702738,1713199137.3055859,0.13531,4
