name,date,time,cpu-percent,ram-resident-set-size-bytes,ram-virtual-memory-size-bytes,ram-shared-memory-bytes,ram-code-segment-size-bytes,ram-data-segment-size-bytes,ram-library-size-bytes,ram-dirty-pages-bytes,ram-unique-set-size-bytes,disk-read-bytes,disk-write-bytes,disk-read-characters-bytes,disk-write-characters-bytes,cycle
server,2024-04-15-16:30:17.717263,1713198617.7173238,66.8,783949824,3141480448,141950976,4096,1630666752,0,0,770088960,112357376,11083776,105956704,10726984,2
server,2024-04-15-16:30:22.712719,1713198622.7127895,19.9,783949824,3141480448,141950976,4096,1630666752,0,0,770088960,112357376,11083776,105958494,10726984,2
server,2024-04-15-16:30:27.722740,1713198627.7228074,59.5,783949824,3141480448,141950976,4096,1630691328,0,0,770142208,112357376,11087872,105976445,10727350,2
server,2024-04-15-16:30:32.717611,1713198632.7176788,19.8,783949824,3141480448,141950976,4096,1630691328,0,0,770142208,112357376,11087872,105978235,10727433,2
server,2024-04-15-16:30:37.724241,1713198637.7242913,28.4,783949824,3141480448,141950976,4096,1630691328,0,0,770142208,112357376,11087872,105996186,10727638,2
server,2024-04-15-16:30:42.710955,1713198642.711033,19.8,783949824,3141480448,141950976,4096,1630691328,0,0,770142208,112357376,11087872,105997976,10727638,2
server,2024-04-15-16:30:47.713598,1713198647.7136502,49.8,783949824,3141480448,141950976,4096,1630691328,0,0,770146304,112357376,11087872,106015927,10727843,2
server,2024-04-15-16:30:57.730838,1713198657.7309246,39.6,786694144,3143561216,141950976,4096,1684094976,0,0,772972544,112357376,11091968,106034226,10728868,2
server,2024-04-15-16:31:02.717463,1713198662.717533,9.8,786694144,3143561216,141950976,4096,1684094976,0,0,772972544,112357376,11091968,106036016,10728868,2
server,2024-04-15-16:31:07.719878,1713198667.7199306,58.6,786694144,3143561216,141950976,4096,1684094976,0,0,772976640,112357376,11096064,106054141,10729377,2
server,2024-04-15-16:31:12.716995,1713198672.7170594,19.6,786694144,3143561216,141950976,4096,1684094976,0,0,772976640,112357376,11096064,106055931,10729377,2
server,2024-04-15-16:31:17.715990,1713198677.7160594,29.8,786694144,3143561216,141950976,4096,1684103168,0,0,772988928,112357376,11096064,106073882,10729582,2
server,2024-04-15-16:31:22.717522,1713198682.717583,19.6,786694144,3143561216,141950976,4096,1684103168,0,0,772988928,112357376,11096064,106075672,10729582,2
server,2024-04-15-16:31:27.724951,1713198687.7250264,66.7,786694144,3143561216,141950976,4096,1684103168,0,0,772988928,112357376,11100160,106093623,10730184,2
server,2024-04-15-16:31:32.724364,1713198692.7244546,59.8,786694144,3143561216,141950976,4096,1684103168,0,0,772988928,112357376,11100160,106095413,10730184,2
server,2024-04-15-16:31:37.719579,1713198697.7196705,59.5,786694144,3143561216,141950976,4096,1684103168,0,0,772988928,112357376,11100160,106113364,10730389,2
server,2024-04-15-16:31:42.706653,1713198702.7067115,39.9,786694144,3143561216,141950976,4096,1684103168,0,0,772988928,112357376,11100160,106115154,10730389,2
server,2024-04-15-16:31:47.728294,1713198707.7283807,58.9,786694144,3143577600,141950976,4096,1684119552,0,0,772997120,112357376,11100160,106133105,10730525,2
server,2024-04-15-16:31:52.727406,1713198712.7275002,39.9,786694144,3143561216,141950976,4096,1684103168,0,0,772988928,112357376,11100160,106134895,10730594,2
server,2024-04-15-16:31:57.728277,1713198717.7283456,67.0,786694144,3143561216,141950976,4096,1684103168,0,0,772988928,112357376,11108352,106153020,10731185,2
server,2024-04-15-16:32:02.725072,1713198722.725149,69.8,786694144,3143561216,141950976,4096,1684103168,0,0,773001216,112357376,11108352,106154810,10731268,2
server,2024-04-15-16:32:07.721326,1713198727.7213938,69.0,786825216,3143561216,141950976,4096,1684103168,0,0,772677632,112357376,11108352,106172761,10731626,2
server,2024-04-15-16:32:12.713581,1713198732.7136455,69.8,786825216,3143561216,141950976,4096,1684103168,0,0,773001216,112357376,11108352,106174551,10731626,2
server,2024-04-15-16:32:17.722334,1713198737.7223916,57.8,786825216,3143561216,141950976,4096,1684103168,0,0,773001216,112357376,11108352,106192502,10731831,2
server,2024-04-15-16:32:22.720254,1713198742.7203403,49.8,786825216,3143561216,141950976,4096,1684103168,0,0,773001216,112357376,11108352,106194292,10731831,2
server,2024-04-15-16:32:27.729035,1713198747.729103,79.4,786825216,3143561216,141950976,4096,1684103168,0,0,773001216,112357376,11112448,106212243,10732280,2
server,2024-04-15-16:32:32.705189,1713198752.7052395,49.8,786825216,3143561216,141950976,4096,1684103168,0,0,773001216,112357376,11112448,106214033,10732280,2
server,2024-04-15-16:32:37.713258,1713198757.7133121,59.6,786825216,3143561216,141950976,4096,1684103168,0,0,773005312,112357376,11112448,106231984,10732485,2
server,2024-04-15-16:32:42.714072,1713198762.7141528,29.9,786825216,3143561216,141950976,4096,1684103168,0,0,773005312,112357376,11112448,106233774,10732485,2
server,2024-04-15-16:32:47.725551,1713198767.72563,67.0,786825216,3143577600,141950976,4096,1684119552,0,0,773017600,112357376,11116544,106251725,10733050,2
server,2024-04-15-16:32:52.709228,1713198772.709293,29.9,786825216,3143561216,141950976,4096,1684103168,0,0,773058560,112357376,11120640,110467889,10736373,3
server,2024-04-15-16:32:57.715966,1713198777.7160208,29.2,786825216,3143561216,141950976,4096,1684140032,0,0,773066752,112357376,11120640,110485840,10736878,3
server,2024-04-15-16:33:02.713753,1713198782.7138133,10.0,786825216,3143561216,141950976,4096,1684140032,0,0,773066752,112357376,11120640,110487630,10736961,3
server,2024-04-15-16:33:07.715216,1713198787.7152894,38.7,786956288,3143561216,141950976,4096,1684176896,0,0,773103616,112357376,11120640,110505581,10737166,3
server,2024-04-15-16:33:12.723801,1713198792.7238731,10.0,786956288,3143561216,141950976,4096,1684176896,0,0,773103616,112357376,11120640,110507371,10737166,3
server,2024-04-15-16:33:17.716050,1713198797.7161334,39.7,786956288,3143561216,141950976,4096,1684185088,0,0,773111808,112357376,11120640,110525322,10737371,3
server,2024-04-15-16:33:22.710797,1713198802.710887,49.8,786956288,3143561216,141950976,4096,1684185088,0,0,773111808,112357376,11120640,110527112,10737371,3
server,2024-04-15-16:33:27.722735,1713198807.7227917,69.4,786956288,3143561216,141950976,4096,1684185088,0,0,773111808,112357376,11124736,110545063,10737901,3
server,2024-04-15-16:33:37.723980,1713198817.724038,48.4,792784896,3147755520,141950976,4096,1690386432,0,0,778919936,112357376,11124736,110563188,10738645,3
server,2024-04-15-16:33:42.722477,1713198822.7225282,19.6,792784896,3147755520,141950976,4096,1690386432,0,0,778919936,112357376,11124736,110564978,10738645,3
server,2024-04-15-16:33:47.711683,1713198827.7117438,59.4,792784896,3147755520,141950976,4096,1690390528,0,0,778924032,112357376,11124736,110582929,10738850,3
server,2024-04-15-16:33:52.725823,1713198832.7258809,19.9,792784896,3147771904,141950976,4096,1690406912,0,0,778928128,112357376,11124736,110604870,10738915,3
server,2024-04-15-16:33:57.717672,1713198837.717792,59.5,792784896,3147771904,141950976,4096,1690406912,0,0,778928128,112357376,11128832,110622821,10739285,3
server,2024-04-15-16:34:02.714591,1713198842.7146711,29.9,792784896,3147771904,141950976,4096,1690406912,0,0,778928128,112357376,11128832,110624611,10739285,3
server,2024-04-15-16:34:07.720700,1713198847.720756,69.3,792784896,3147771904,141950976,4096,1690406912,0,0,778928128,112357376,11132928,110642562,10739564,3
server,2024-04-15-16:34:17.715988,1713198857.7160435,59.1,793042944,3147771904,141950976,4096,1741709312,0,0,779235328,112357376,11137024,110681438,10740543,3
server,2024-04-15-16:34:22.727924,1713198862.7279983,19.9,793042944,3147771904,141950976,4096,1741709312,0,0,779235328,112357376,11137024,110683228,10740543,3
server,2024-04-15-16:34:27.741282,1713198867.7414072,78.7,793042944,3147771904,141950976,4096,1741709312,0,0,779235328,112357376,11141120,110701353,10741051,3
server,2024-04-15-16:34:32.713105,1713198872.7131739,29.9,793042944,3147771904,141950976,4096,1741709312,0,0,779235328,112357376,11141120,110703143,10741296,3
server,2024-04-15-16:34:37.713755,1713198877.7138133,59.3,793042944,3147771904,141950976,4096,1741709312,0,0,779239424,112357376,11141120,110721094,10741501,3
server,2024-04-15-16:34:42.714451,1713198882.714507,19.9,793042944,3147771904,141950976,4096,1741709312,0,0,779239424,112357376,11141120,110722884,10741501,3
server,2024-04-15-16:34:47.716050,1713198887.7161202,48.9,793042944,3147771904,141950976,4096,1741709312,0,0,779239424,112357376,11145216,110740835,10741859,3
server,2024-04-15-16:34:52.715383,1713198892.7154396,29.8,793042944,3147771904,141950976,4096,1741709312,0,0,779239424,112357376,11145216,110742625,10741859,3
server,2024-04-15-16:34:57.712661,1713198897.712735,59.6,793042944,3147771904,141950976,4096,1741709312,0,0,779239424,112357376,11145216,110760576,10742229,3
server,2024-04-15-16:35:02.712178,1713198902.7122405,29.8,793042944,3147771904,141950976,4096,1741709312,0,0,779239424,112357376,11145216,110762366,10742229,3
server,2024-04-15-16:35:07.722722,1713198907.7227721,39.6,793042944,3147771904,141950976,4096,1741709312,0,0,779239424,112357376,11145216,110780317,10742434,3
