name,action-time-start,action-time-end,action-total-seconds,cycle
check-workers,1713194281.3500247,1713194281.4438176,0.09379,1
server-monitoring,1713194281.351647,1713194281.5647764,0.21313,1
update-pipeline,1713194246.3541112,1713194283.424246,37.07013,1
model-pipeline,1713194286.355823,1713194286.413815,0.05799,1
check-workers,1713194286.3504612,1713194286.5404325,0.18997,1
data-pipeline,1713194286.3555725,1713194286.56463,0.20906,1
server-monitoring,1713194286.3550088,1713194287.0506074,0.6956,1
check-workers,1713194291.3502715,1713194291.4559517,0.10568,1
server-monitoring,1713194291.3529232,1713194291.591842,0.23892,1
check-workers,1713194296.350491,1713194296.4510052,0.10051,1
system-monitoring,1713194296.3536594,1713194296.5616205,0.20796,1
server-monitoring,1713194296.3533633,1713194296.59843,0.24507,1
check-workers,1713194301.3505185,1713194301.4513247,0.10081,1
server-monitoring,1713194301.352999,1713194301.568696,0.2157,1
check-workers,1713194306.3504944,1713194306.4863012,0.13581,1
aggregation-pipeline,1713194306.3538494,1713194306.5011814,0.14733,1
system-monitoring,1713194306.3532507,1713194306.6639943,0.31074,1
server-monitoring,1713194306.3529274,1713194306.7083395,0.35541,1
check-workers,1713194311.3505244,1713194311.4551167,0.10459,1
server-monitoring,1713194311.3530753,1713194311.5567842,0.20371,1
check-workers,1713194316.3504956,1713194316.4531834,0.10269,1
system-monitoring,1713194316.3538537,1713194316.5886014,0.23475,1
server-monitoring,1713194316.3535516,1713194316.6359472,0.2824,1
data-pipeline,1713194316.3542168,1713194316.6637056,0.30949,1
check-workers,1713194321.3504586,1713194321.4589722,0.10851,1
server-monitoring,1713194321.3526142,1713194321.5793881,0.22677,1
check-workers,1713194326.350512,1713194326.433227,0.08272,1
update-pipeline,1713194326.3538842,1713194326.447804,0.09392,1
server-monitoring,1713194326.353338,1713194326.6174548,0.26412,1
system-monitoring,1713194326.3535838,1713194326.6561828,0.3026,1
check-workers,1713194331.3505285,1713194331.452279,0.10175,1
server-monitoring,1713194331.3527088,1713194331.5605237,0.20781,1
check-workers,1713194336.3504255,1713194336.4472146,0.09679,1
system-monitoring,1713194336.3530617,1713194336.561992,0.20893,1
server-monitoring,1713194336.3524427,1713194336.5974064,0.24496,1
check-workers,1713194341.3505232,1713194341.4504204,0.0999,1
server-monitoring,1713194341.3527765,1713194341.5611017,0.20833,1
model-pipeline,1713194346.354014,1713194346.4093263,0.05531,1
data-pipeline,1713194346.3537993,1713194346.4572873,0.10349,1
check-workers,1713194346.3502162,1713194346.441312,0.0911,1
system-monitoring,1713194346.3535519,1713194346.7720602,0.41851,1
server-monitoring,1713194346.3533025,1713194346.8494484,0.49615,1
check-workers,1713194351.3503854,1713194351.4634967,0.11311,1
